date,1. open,2. high,3. low,4. close,5. volume
2021-11-11,64891.1375,65596.8454,64098.4651,64785.3826,47337.0
2021-11-10,66944.8576,68990.6665,63319.6921,64897.4985,61210.0
2021-11-09,67531.9826,68522.0065,66326.9613,66942.3801,52140.0
2021-11-08,63283.3131,67772.6291,63283.3068,67532.2386,65777.0
2021-11-07,61486.5858,63293.6064,61345.1077,63280.0615,34366.0
2021-11-06,60959.1135,61570.5207,60070.643,61486.9135,33278.0
2021-11-05,61407.7979,62640.3357,60728.4953,60957.6028,41318.0
2021-11-04,62897.4812,63091.4222,60691.3185,61406.9702,42811.0
2021-11-03,63233.2399,63462.4275,61133.0581,62907.6549,46902.0
2021-11-02,60922.9034,64236.0146,60639.7695,63228.1358,52912.0
2021-11-01,61312.3712,62454.4008,59558.0248,60922.8287,50464.0
2021-10-31,61866.8345,62410.8511,60104.0585,61309.7921,42884.0
2021-10-30,62259.9016,62361.9878,60801.9486,61866.5584,36210.0
2021-10-29,60580.8351,62940.3085,60180.9691,62259.3518,54382.0
2021-10-28,58432.79,62240.9566,57995.6131,60589.084,56798.0
2021-10-27,60325.5734,61489.5085,58095.6181,58430.214,59176.0
2021-10-26,63081.9192,63296.5454,59829.6913,60325.2409,46800.0
2021-10-25,60850.3722,63708.0311,60649.0771,63081.249,50292.0
2021-10-24,61290.3015,61495.398,59514.8504,60853.018,37518.0
2021-10-23,60687.9148,61748.674,59929.8024,61291.4847,34826.0
2021-10-22,62195.9586,63735.7073,60074.9831,60690.2988,62415.0
2021-10-21,65970.1102,66641.9393,61762.2138,62199.5829,93861.0
2021-10-20,64283.721,66975.4394,63501.0981,66032.1842,67610.0
2021-10-19,62014.3366,64480.958,61472.0632,64283.4991,79626.0
2021-10-18,61527.5756,62688.5096,59863.1055,62018.6037,80922.0
2021-10-17,60873.3686,61718.8312,59245.8992,61526.0624,50072.0
2021-10-16,61677.731,62367.9907,60150.2794,60874.9165,50070.0
2021-10-15,57350.6951,62893.9234,56858.6655,61680.1173,108856.0
2021-10-14,57370.3184,58526.3109,56823.9627,57349.8618,59041.0
2021-10-13,55999.0711,57777.2721,54189.8117,57367.4958,71873.0
2021-10-12,57474.2903,57677.3039,54098.2403,55999.9353,72896.0
2021-10-11,54665.6375,57838.2641,54483.7363,57476.7702,74110.0
2021-10-10,54952.9112,56547.4489,54084.9312,54664.5505,101749.0
2021-10-09,53956.425,55489.4628,53664.4291,54951.956,65324.0
2021-10-08,53791.0221,56025.945,53623.8672,53953.3752,62929.0
2021-10-07,55323.8462,55339.2462,53506.455,53789.1454,71355.0
2021-10-06,51482.3167,55752.8979,50395.9886,55324.1146,101315.0
2021-10-05,49232.5188,51893.186,49036.8287,51480.5322,74827.0
2021-10-04,48211.3527,49525.5591,47010.4397,49231.9087,63801.0
2021-10-03,47643.182,49204.6782,47098.9815,48211.4393,40876.0
2021-10-02,48147.8447,48341.4774,47435.5921,47641.2881,40254.0
2021-10-01,43824.8211,48492.0309,43287.8119,48147.8671,84343.0
2021-09-30,41524.663,44131.9571,41412.3651,43824.1351,67057.0
2021-09-29,41030.282,42600.885,40758.7261,41525.109,49610.0
2021-09-28,42154.6652,42783.9991,40895.6684,41034.8744,60994.0
2021-09-27,43165.4935,44352.7109,42111.8004,42155.3391,55273.0
